source_id,target_id,edge_type_id,edge_weight
88,96,7,0.9
88,105,7,0.9
88,111,7,0.9
91,94,7,0.9
91,106,7,0.9
91,121,7,0.9
91,122,7,0.9
94,106,7,0.9
94,121,7,0.9
94,122,7,0.9
96,97,7,0.9
96,105,7,0.9
96,111,7,0.9
96,117,7,0.9
104,116,7,0.9
104,117,7,0.9
104,125,7,0.9
105,111,7,0.9
105,117,7,0.9
106,121,7,0.9
106,122,7,0.9
111,117,7,0.9
116,117,7,0.9
116,125,7,0.9
117,125,7,0.9
121,122,7,0.9
2,10,4,0.9
2,17,4,0.9
2,19,4,0.9
2,20,4,0.9
2,32,4,0.9
2,35,4,0.9
2,56,4,0.9
2,65,4,0.9
2,66,4,0.9
2,70,4,0.9
2,78,4,0.9
2,84,4,0.9
2,94,4,0.9
2,96,4,0.9
2,104,4,0.9
2,111,4,0.9
2,116,4,0.9
2,125,4,0.9
3,5,4,0.9
3,10,4,0.7
3,19,4,0.9
3,56,4,0.9
3,65,4,0.9
3,66,4,0.9
3,70,4,0.9
3,104,4,0.9
5,17,4,0.9
5,19,4,0.9
5,20,4,0.9
5,32,4,0.9
5,35,4,0.9
5,36,4,0.9
5,44,4,0.9
5,56,4,0.9
5,65,4,0.9
5,66,4,0.9
5,70,4,0.9
5,96,4,0.9
5,97,4,0.9
5,104,4,0.9
5,116,4,0.9
10,13,4,0.9
10,17,4,0.9
10,19,4,0.9
10,20,4,0.9
10,32,4,0.9
10,44,4,0.9
10,56,4,0.9
10,65,4,0.9
10,66,4,0.9
10,70,4,0.9
10,84,4,0.9
10,95,4,0.9
10,96,4,0.9
10,104,4,0.9
10,105,4,0.9
10,111,4,0.9
10,116,4,0.9
11,15,4,0.9
11,17,4,0.9
11,19,4,0.9
11,20,4,0.9
11,25,4,0.9
11,36,4,0.9
11,56,4,0.9
11,62,4,0.9
11,66,4,0.9
11,70,4,0.9
11,81,4,0.9
11,84,4,0.9
11,96,4,0.9
11,97,4,0.9
11,101,4,0.9
11,104,4,0.9
11,106,4,0.9
11,116,4,0.9
11,117,4,0.9
13,19,4,0.9
13,44,4,0.9
13,56,4,0.9
13,66,4,0.9
13,70,4,0.9
13,95,4,0.9
13,104,4,0.9
13,105,4,0.9
13,111,4,0.9
13,116,4,0.9
14,19,4,0.9
14,66,4,0.9
14,116,4,0.9
15,19,4,0.9
15,25,4,0.9
15,55,4,0.9
15,56,4,0.9
15,62,4,0.9
15,65,4,0.9
15,66,4,0.9
15,70,4,0.9
15,81,4,0.9
15,84,4,0.9
15,97,4,0.9
15,101,4,0.9
15,104,4,0.9
15,116,4,0.9
15,117,4,0.9
17,19,4,0.9
17,20,4,0.9
17,25,4,0.9
17,32,4,0.9
17,35,4,0.9
17,36,4,0.9
17,44,4,0.9
17,56,4,0.9
17,65,4,0.9
17,66,4,0.9
17,70,4,0.9
17,84,4,0.9
17,86,4,0.9
17,95,4,0.9
17,96,4,0.9
17,97,4,0.9
17,104,4,0.9
17,116,4,0.9
19,20,4,0.9
19,25,4,0.9
19,32,4,0.9
19,35,4,0.9
19,36,4,0.9
19,42,4,0.9
